slug,url,in_db
uudrt-no-17-tahun-1951,https://peraturan.go.id/id/uudrt-no-17-tahun-1951,N
uudrt-no-18-tahun-1951,https://peraturan.go.id/id/uudrt-no-18-tahun-1951,N
uudrt-no-19-tahun-1951,https://peraturan.go.id/id/uudrt-no-19-tahun-1951,N
uudrt-no-20-tahun-1951,https://peraturan.go.id/id/uudrt-no-20-tahun-1951,N
uudrt-no-21-tahun-1951,https://peraturan.go.id/id/uudrt-no-21-tahun-1951,N
uudrt-no-22-tahun-1951,https://peraturan.go.id/id/uudrt-no-22-tahun-1951,N
uudrt-no-23-tahun-1951,https://peraturan.go.id/id/uudrt-no-23-tahun-1951,N
uudrt-no-24-tahun-1951,https://peraturan.go.id/id/uudrt-no-24-tahun-1951,N
uudrt-no-25-tahun-1951,https://peraturan.go.id/id/uudrt-no-25-tahun-1951,N
uudrt-no-11-tahun-1951,https://peraturan.go.id/id/uudrt-no-11-tahun-1951,N
uudrt-no-2-tahun-1951,https://peraturan.go.id/id/uudrt-no-2-tahun-1951,N
uudrt-no-1-tahun-1950,https://peraturan.go.id/id/uudrt-no-1-tahun-1950,N
uudrt-no-2-tahun-1950,https://peraturan.go.id/id/uudrt-no-2-tahun-1950,N
uudrt-no-3-tahun-1950,https://peraturan.go.id/id/uudrt-no-3-tahun-1950,N
uudrt-no-4-tahun-1950,https://peraturan.go.id/id/uudrt-no-4-tahun-1950,N
uudrt-no-5-tahun-1950,https://peraturan.go.id/id/uudrt-no-5-tahun-1950,N
uudrt-no-6-tahun-1950,https://peraturan.go.id/id/uudrt-no-6-tahun-1950,N
uudrt-no-7-tahun-1950,https://peraturan.go.id/id/uudrt-no-7-tahun-1950,N
uudrt-no-8-tahun-1950,https://peraturan.go.id/id/uudrt-no-8-tahun-1950,N
uudrt-no-9-tahun-1950,https://peraturan.go.id/id/uudrt-no-9-tahun-1950,N
uudrt-no-10-tahun-1950,https://peraturan.go.id/id/uudrt-no-10-tahun-1950,N
uudrt-no-11-tahun-1950,https://peraturan.go.id/id/uudrt-no-11-tahun-1950,N
uudrt-no-12-tahun-1950,https://peraturan.go.id/id/uudrt-no-12-tahun-1950,N
uudrt-no-13-tahun-1950,https://peraturan.go.id/id/uudrt-no-13-tahun-1950,N
uudrt-no-14-tahun-1950,https://peraturan.go.id/id/uudrt-no-14-tahun-1950,N
uudrt-no-15-tahun-1950,https://peraturan.go.id/id/uudrt-no-15-tahun-1950,N
uudrt-no-16-tahun-1950,https://peraturan.go.id/id/uudrt-no-16-tahun-1950,N
uudrt-no-17-tahun-1950,https://peraturan.go.id/id/uudrt-no-17-tahun-1950,N
uudrt-no-18-tahun-1950,https://peraturan.go.id/id/uudrt-no-18-tahun-1950,N
uudrt-no-19-tahun-1950,https://peraturan.go.id/id/uudrt-no-19-tahun-1950,N
uudrt-no-20-tahun-1950,https://peraturan.go.id/id/uudrt-no-20-tahun-1950,N
uudrt-no-21-tahun-1950,https://peraturan.go.id/id/uudrt-no-21-tahun-1950,N
uudrt-no-22-tahun-1950,https://peraturan.go.id/id/uudrt-no-22-tahun-1950,N
uudrt-no-23-tahun-1950,https://peraturan.go.id/id/uudrt-no-23-tahun-1950,N
uudrt-no-24-tahun-1950,https://peraturan.go.id/id/uudrt-no-24-tahun-1950,N
uudrt-no-25-tahun-1950,https://peraturan.go.id/id/uudrt-no-25-tahun-1950,N
uudrt-no-26-tahun-1950,https://peraturan.go.id/id/uudrt-no-26-tahun-1950,N
uudrt-no-27-tahun-1950,https://peraturan.go.id/id/uudrt-no-27-tahun-1950,N
uudrt-no-28-tahun-1950,https://peraturan.go.id/id/uudrt-no-28-tahun-1950,N
uudrt-no-29-tahun-1950,https://peraturan.go.id/id/uudrt-no-29-tahun-1950,N
